"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SORBI_3002G150301",175.164242702654,9.4377499310981,0.86257696266479,10.9413424420028,7.3109255303817e-28,1.57915991456245e-25
"SORBI_3002G157600",39.3298396549363,9.09452116018761,0.923303631142517,9.84997876476868,6.85584594079388e-23,7.40431361605739e-21
"SORBI_3009G096850",38.5719666759199,9.06674997110027,0.992876349694537,9.13180173330717,6.7368607884005e-20,4.85053976764836e-18
"SORBI_3010G144700",18.5840871711929,8.00969102390859,1.00010573758929,8.00884418803116,1.1579149825108e-15,6.25274090555831e-14
"SORBI_3001G261250",9.05336052531404,6.96433417379455,1.1380159652069,6.11971570410118,9.37424545772588e-10,1.34989134591253e-08
"SORBI_3008G155000",8.52785443319559,6.88158962106703,1.12145338149844,6.13631358610035,8.44583636806773e-10,1.30307189678759e-08
"SORBI_3004G113850",10.8730338423984,6.7355095741292,1.09139526151037,6.17146675605685,6.7659358590211e-10,1.2178684546238e-08
"SORBI_3002G150100",7.43897507687292,6.66457293199179,1.18709941476537,5.61416579698092,1.97512767284052e-08,1.77761490555647e-07
"SORBI_3010G140500",7.14692057784522,6.61537058607582,1.06197818972532,6.22929044125365,4.68552436263914e-10,9.20066602118232e-09
"SORBI_3007G098950",6.32183213470152,6.42952817765608,1.21097106570331,5.3093986799114,1.09987506291656e-07,8.79900050333245e-07
"SORBI_3004G144500",5.79435148960109,6.33224828867827,1.0694086580609,5.92126147562725,3.19481426058867e-09,3.63199936993238e-08
"SORBI_3008G075350",15.1009359731986,6.24328813207149,1.01598348544912,6.14506851881713,7.99290038919868e-10,1.30307189678759e-08
"SORBI_3001G371500",8.36212815973087,5.86829637374711,0.998662087805464,5.87615815740292,4.19897176176916e-09,4.53488950271069e-08
"SORBI_3004G344600",3.79769176836409,5.74045891585486,1.23186327162873,4.65998057419553,3.16239227730519e-06,2.06992949059976e-05
"SORBI_3002G358200",3.88528487401778,5.71035660533171,1.25764712976715,4.5405078023666,5.6118901945706e-06,3.36713411674236e-05
"SORBI_3007G101100",3.57671802748804,5.66181775901392,1.34173092029034,4.21978630244935,2.4453399955663e-05,0.000122835683498214
"SORBI_3002G150766",3.01452491741282,5.35721906869241,1.358249053898,3.94420968180901,8.00635821588887e-05,0.000360286119714999
"SORBI_3008G088848",2.89284780574221,5.31465124555958,1.37923881437183,3.85332198469206,0.00011652599134638,0.00048403104097727
"SORBI_3004G210700",2.86400606812284,5.31028342763329,1.20622344604469,4.40240441772722,1.07057759295861e-05,6.08538842313316e-05
"SORBI_3008G151432",2.14528344135599,4.88840007780616,1.41577032984628,3.45281997704877,0.000554759095929048,0.00181557522304052
"SORBI_3008G155400",2.04426957888992,4.84318181940886,1.33939583606126,3.61594510675136,0.000299253790811964,0.00109557320026075
"SORBI_3001G370800",1.83582083812826,4.70382189237963,1.53674852404496,3.06089240938292,0.00220678376839774,0.00619045836329756
"SORBI_3001G101100",1.74938559334058,4.61339631245992,1.50209027293341,3.07131761358821,0.00213116319698019,0.00605699013878581
"SORBI_3002G389000",1.7418096864882,4.61222121482968,1.49192808806035,3.09145008512174,0.00199181467041877,0.00573642625080606
"ENSRNA049444649",2.4404107754192,4.56880100644451,1.46216913301183,3.12467340699057,0.00178002570260319,0.0052669253666067
"ENSRNA049485572",10.8560705697696,4.55341038711738,0.82111749574896,5.5453822512503,2.93312670091343e-08,2.53422146958921e-07
"SORBI_3001G100800",1.61271445029792,4.4814693106526,1.61739796709091,2.77078950378124,0.00559205643684941,0.014638770671358
"ENSRNA049445659",1.56457509904091,4.44587380363332,1.50655724476718,2.95101551505956,0.00316731006749703,0.00855173718224198
"SORBI_3005G129900",1.47212162631882,4.37612406705874,1.58270389798624,2.76496701159751,0.00569285526108366,0.014638770671358
"SORBI_3006G254400",1.46358260354265,4.37050338563179,1.76013164701568,2.48305482890556,0.0130261036230471,0.0293087331518559
"SORBI_3010G161600",1.41065753609492,4.32744089940909,1.64804530209784,2.62580215113054,0.0086445047715673,0.021218329893847
"ENSRNA049445021",1.38000190837511,4.29561979675729,1.79215121789527,2.39690699861931,0.0165341197058925,0.0364425495558447
"SORBI_3001G261593",1.33494107785719,4.17278920148125,1.7110314392002,2.43875659200732,0.0147378915418421,0.0328183976601844
"ENSRNA049485567",10.7116600986802,4.10132041506037,0.678855829344678,6.04151903507922,1.52669991838191e-09,2.06104488981558e-08
"SORBI_3003G081900",4.2485997349062,4.04491916945809,1.15257543621353,3.50946154357286,0.000449014985694367,0.00151542557671849
"SORBI_3007G152300",1.13802783878381,4.00619862094323,1.768504591189,2.26530292366941,0.0234940967616635,0.0497522049070522
"SORBI_3008G065400",1.930416770474,3.71656983942905,1.37274480143275,2.70740041087754,0.00678124130934436,0.0168361853197515
"SORBI_3004G136800",3.44641412475804,3.67260351674037,1.07724529984727,3.40925462126507,0.000651406497964594,0.0021000567695575
"SORBI_3010G047200",135.359642442254,3.58944643507553,0.463405862801858,7.74579418001515,9.49862647894408e-15,4.10340663890384e-13
"SORBI_3004G039700",6.84795122794203,3.47024502686953,0.791222861890375,4.38592613284516,1.15493313053668e-05,6.23663890489805e-05
"ENSRNA049485573",16.8045708643656,3.33046592369815,0.515708188249399,6.45804352070424,1.06065243154287e-10,2.5455658357029e-09
"ENSRNA049485570",28.0552397690884,3.32824385107443,0.439293271227055,7.57635973293609,3.55385541396226e-14,1.27938794902641e-12
"ENSRNA049485571",6.20206422743313,3.27629066054898,0.798673978699599,4.10216276969915,4.09306161248992e-05,0.000195631444240299
"SORBI_3010G047100",59.9827760184458,3.20262854624731,0.443720758290174,7.21766671135301,5.28871405443707e-13,1.63194605108344e-11
"ENSRNA049485569",20.076862575168,3.14079907083419,0.495144680544518,6.34319461410796,2.25048840313713e-10,4.8610549507762e-09
"ENSRNA049485566",8.12552886787108,3.0962544959848,0.70590458581085,4.38622238503839,1.15336204580406e-05,6.23663890489805e-05
"SORBI_3008G065800",11.2825168400698,2.92671865647468,0.631646295481895,4.63347711750898,3.59574521013625e-06,2.23307694493359e-05
"SORBI_3002G243500",45.7879750796188,2.70215730055431,0.475267998965454,5.68554438008927,1.30396615159148e-08,1.22459429888591e-07
"SORBI_3002G243200",70.7772516057979,2.65387846643226,0.521812829136391,5.08588198343929,3.6592155010858e-07,2.7254846490846e-06
"SORBI_3004G038800",7.00115578961535,2.42318206338666,0.736216183113533,3.29140016066854,0.000996899957551612,0.00303282240607251
"SORBI_3001G013400",4.40958604077728,2.37190247111674,0.952987917169212,2.488911379026,0.0128134901054141,0.0291338301344151
"ENSRNA049485577",12.9902367477253,2.24286017766772,0.635186758460951,3.53102476994661,0.000413952980880404,0.00144600149126937
"SORBI_3001G100900",6.7107551165255,2.0047184227201,0.764758958902573,2.62137291676435,0.00875764066592166,0.0212544986948211
"SORBI_3001G101000",9.05437854361079,2.00098914965583,0.614727758952011,3.25508181551313,0.0011335970425138,0.00340079112754139
"SORBI_3003G007300",122.743199588766,1.09100242696163,0.313238911553875,3.48297221935016,0.000495879819626883,0.00164784678522164
"SORBI_3003G006833",111.971664096648,1.0890730531728,0.326306145459022,3.33758057679476,0.000845112138133195,0.00264556843241696
"SORBI_3010G139000",36.1739847045641,0.830263236067614,0.328656693748324,2.52623254557355,0.0115293137345699,0.0265387461504609
"SORBI_3002G067600",74.612139568679,-0.628683458341544,0.265731336100555,-2.36586120239747,0.0179881867851261,0.0388544834558724
"SORBI_3003G057366",95.8218849794769,-1.18006648270231,0.427853208087456,-2.75811063326444,0.00581365183624228,0.014773515254451
"SORBI_3010G028200",17.8679744190361,-1.30737350892131,0.430754616837581,-3.03507718273455,0.0024047413844829,0.00665928383395265
"SORBI_3001G425600",19.4127380870076,-1.39958382570998,0.55165609330895,-2.53705858176056,0.0111788246012099,0.0262459360202319
"SORBI_3009G007600",30.5984911708423,-1.55358751556234,0.38531699226424,-4.03197249732743,5.53106611322649e-05,0.000254193676692962
"SORBI_3010G246400",14.1031436885101,-1.79221591714294,0.484735130321118,-3.69730973687768,0.000217896418516999,0.000825712743853891
"SORBI_3009G005900",340.236019225035,-1.86041466439954,0.311962467078979,-5.96358492038898,2.46763112938827e-09,2.96115735526593e-08
"SORBI_3001G426000",20.0298097522896,-1.88523686656661,0.5587131610023,-3.37424817984348,0.000740176029330988,0.00235114738728667
"SORBI_3010G225300",5.15522787906317,-1.96984003301672,0.868321198620028,-2.26856149100963,0.0232950056487468,0.0497522049070522
"SORBI_3009G007700",23.4072019431766,-2.02671193254844,0.41397486609536,-4.89573667035519,9.79381416469448e-07,7.05154619858002e-06
"SORBI_3009G006100",376.755411558282,-2.04327591296256,0.308880000937992,-6.61511236324021,3.71269631003815e-11,1.0024280037103e-09
"SORBI_3003G273600",24.7135586488118,-2.07028325899637,0.502841973190688,-4.11716477417304,3.83561850006271e-05,0.000188293999093988
"SORBI_3004G290800",15.5303303570751,-2.08410989442137,0.55102403263587,-3.78224863342504,0.000155418007437159,0.000621672029748637
"SORBI_3007G068300",14.9275675638538,-2.42078634088308,0.546210594538562,-4.4319651890461,9.33780960195339e-06,5.4512618216809e-05
"SORBI_3004G291000",15.8554179229941,-2.48600558613829,0.536681945544866,-4.63217666771774,3.61841171632758e-06,2.23307694493359e-05
"SORBI_3007G068700",33.2487766679938,-2.50651350538928,0.472768579228663,-5.3017768428662,1.1468097354286e-07,8.84681795902061e-07
"SORBI_3010G246700",8.74047924521968,-2.53706429352665,0.722346301772034,-3.51225483857648,0.000444321728245062,0.00151542557671849
"SORBI_3005G125000",17.2748256037699,-2.69088654332907,0.690525910630568,-3.8968654208382,9.74457321297502e-05,0.000422671373287793
"SORBI_3009G005400",8.57810802889844,-2.73208673521668,0.758653117196962,-3.6012331239224,0.000316711423565946,0.00114016112483741
"SORBI_3003G100400",7.00371613490697,-2.84038746125242,0.767048400479184,-3.7030094313188,0.000213056958257969,0.000821791124709309
"SORBI_3003G275300",29.5915321662461,-2.93843654697745,0.510069073494735,-5.76086004753194,8.36864097428608e-09,8.2164838656627e-08
"SORBI_3010G223600",5.84248058621091,-3.04627348440906,0.838256526474762,-3.63405877341628,0.000278997263499239,0.00103902429165234
"SORBI_3005G027840",2.26096602755705,-3.09902834333106,1.30289250411604,-2.37857561812716,0.0173796718548911,0.037919284047035
"SORBI_3003G100200",9.39500934768712,-3.16934969439369,0.749389444301493,-4.2292425100114,2.34479480287096e-05,0.000120589447004792
"SORBI_3004G294400",3.37991402574117,-3.18343294359353,1.07683593877708,-2.95628408094256,0.00311370157529221,0.00851341190206477
"SORBI_3005G124100",7.373109725122,-3.21151884276167,0.90969602240123,-3.53032085848255,0.000415055983605097,0.00144600149126937
"SORBI_3007G190200",3.9746630299414,-3.37529314144141,1.33641896964181,-2.52562498596234,0.011549269158071,0.0265387461504609
"SORBI_3008G079800",2.89257962817659,-3.5007371645029,1.26590451580018,-2.7654038047965,0.00568523703623119,0.014638770671358
"SORBI_3004G294300",3.15121345706074,-3.60104862458869,1.16435453579283,-3.09274238549401,0.0019831620793425,0.00573642625080606
"SORBI_3003G427700",1.51718384464742,-3.61904434401862,1.38820962188464,-2.60698693264017,0.00913428461194649,0.0219222830686716
"SORBI_3005G023800",2.24278734000173,-3.65782621475581,1.29935630689925,-2.81510636869477,0.00487610915977306,0.0130029577593948
"SORBI_3008G080100",1.70024910251323,-3.80022017313044,1.46967335193343,-2.58575837149872,0.00971650191343886,0.0230633452011296
"SORBI_3005G124200",7.24485497220876,-3.91142638507519,1.00977546908661,-3.8735605140153,0.000107256758508878,0.000454263918390543
"SORBI_3010G209100",7.53944914212134,-3.94350423796375,1.18805131279533,-3.31930464239393,0.000902419220365326,0.00278460787998443
"SORBI_3003G178700",7.37329681228166,-4.03022334243567,0.983446003929605,-4.09806265553157,4.16622520141377e-05,0.000195631444240299
"SORBI_3004G201100",2.08025651501097,-4.04715432181284,1.48944485021865,-2.71722334748999,0.00658321661553266,0.0165345905692448
"SORBI_3005G023900",4.46443382304609,-4.15351363269762,1.08847756101307,-3.81589274916413,0.000135691437196797,0.000553006611971851
"SORBI_3007G177300",3.58170905921687,-4.34702843103676,1.15227410823223,-3.77256453128656,0.00016157815736599,0.000634561490746433
"SORBI_3003G427800",5.46803544617368,-4.44363205817857,1.1405961571718,-3.89588552463381,9.78405956684706e-05,0.000422671373287793
"SORBI_3003G178500",13.4681201578859,-4.58624624901333,0.85669444247335,-5.35342126858258,8.63065971834065e-08,7.17008653523685e-07
"SORBI_3008G080400",6.31381152435678,-4.67369532441131,1.08080515070306,-4.32427188320771,1.53036465786731e-05,8.06240892925218e-05
"SORBI_3001G301600",9.25182797697188,-4.73018713380613,1.01025213159897,-4.68218475948123,2.83833476897981e-06,1.91587596906137e-05
"SORBI_3001G420100",21.2064366882776,-4.93069991730257,0.821225320633012,-6.00407682693212,1.92423577476934e-09,2.44491133735399e-08
"SORBI_3001G301500",10.6689610188081,-4.97426826561978,1.02895152533561,-4.83430768421995,1.33609799166915e-06,9.30958600646889e-06
"SORBI_3001G418600",17.219861913873,-5.27290478362946,0.901805964280205,-5.84705024415993,5.00366406545602e-09,5.14662589589762e-08
